element,ion_state,wavelength,Ei,Ek,gi,gk,Ak,emissivity,channel,pixel,half_px,step_nm,interference,rel_emissivity,status,snr,selected,response_ln
Fe,II,571.945,10.59605,12.7632131,8.0,8.0,3000000.0,1.7568910913927836e-05,2,7094,3,0.06201171875,18.19297873247186,1.899747844953111e-07,implausible,,False,
Fe,II,572.655,10.7142644,12.8787396,8.0,10.0,18700000.0,0.00011779976483633618,2,7106,3,0.06201171875,580.5132751475472,1.2737832782019656e-06,implausible,,False,
Fe,II,573.009,10.6000744,12.7632131,6.0,8.0,1800000.0,1.0521772697461774e-05,2,7113,3,0.06201171875,161.06498857510692,1.1377321625123239e-07,implausible,,False,
Fe,II,573.018,10.7370057,12.9001119,6.0,6.0,3300000.0,1.2126203115124938e-05,2,7113,3,0.06201171875,139.62200309651053,1.3112211877151605e-07,implausible,,False,
Fe,II,573.753,10.59605,12.7563835,8.0,8.0,1800000.0,1.0601072315726411e-05,2,7126,3,0.06201171875,1104.5528792453606,1.1463069273137335e-07,implausible,,False,
Fe,II,573.789,10.7370057,12.8972034,6.0,8.0,12400000.0,6.0899826442422676e-05,2,7126,3,0.06201171875,191.44793797270103,6.585172786680462e-07,implausible,,False,
Fe,II,574.657,10.6290223,12.7859594,4.0,2.0,40000000.0,5.660200103815485e-05,2,7141,3,0.06201171875,8.815174334701543e-10,6.12044366432662e-07,implausible,,False,
Fe,II,574.871,10.8979851,13.0541176,2.0,4.0,3100000.0,6.206400550092432e-06,2,7145,3,0.06201171875,1030.380820999195,6.711056893462218e-08,implausible,,False,
Fe,II,575.149,10.6290223,12.7841142,4.0,4.0,12300000.0,3.4863300521350055e-05,2,7150,3,0.06201171875,914.4862974938557,3.769811364965265e-07,implausible,,False,
Fe,II,575.545,10.7370057,12.8906141,6.0,8.0,2500000.0,1.2345172333858512e-05,2,7157,3,0.06201171875,0.07615701846413692,1.3348985973985576e-07,implausible,,False,
Fe,II,576.691,10.7507828,12.9001119,4.0,6.0,4700000.0,1.7160654485323876e-05,2,7177,3,0.06201171875,0.0,1.855602577541357e-07,implausible,,False,
Fe,II,576.845,10.8532849,13.0020396,8.0,10.0,3100000.0,1.6536876157980042e-05,2,7179,3,0.06201171875,0.0,1.788152663377328e-07,implausible,,False,
Fe,II,577.675,10.6290223,12.7746894,4.0,4.0,7100000.0,2.0281318651090223e-05,2,7194,3,0.06201171875,70.15098830715124,2.1930438140973003e-07,implausible,,False,
Fe,II,578.013,10.6780583,12.8224715,10.0,12.0,44000000.0,0.00035432430138754756,2,7200,3,0.06201171875,0.17064419827942173,3.83135204722272e-06,implausible,,False,
Fe,II,578.033,10.7142644,12.8586008,8.0,8.0,11800000.0,6.046338634119425e-05,2,7200,3,0.06201171875,5.860146492425999,6.537979984245423e-07,implausible,,False,
Fe,II,578.362,10.7142644,12.8573818,8.0,10.0,46000000.0,0.0002949264996295942,2,7206,3,0.06201171875,318.71951087198704,3.1890763453454405e-06,implausible,,False,
Fe,II,578.445,10.7370057,12.8798182,6.0,8.0,34800000.0,0.00017338001812716887,2,7207,3,0.06201171875,603.58388167068,1.874779361160652e-06,implausible,,False,
Fe,II,578.641,10.7507828,12.892869,4.0,6.0,2900000.0,1.0651819630466096e-05,2,7211,3,0.06201171875,250.09383668072928,1.1517942965813099e-07,implausible,,False,
Fe,II,579.069,10.7142644,12.8547671,8.0,10.0,1700000.0,1.0922913352036443e-05,2,7218,3,0.06201171875,3.1229451015996386,1.1811079925671725e-07,implausible,,False,
Fe,II,579.864,10.906287,13.0438578,4.0,6.0,3000000.0,9.050657064760806e-06,2,7232,3,0.06201171875,77.4297885451163,9.786586282111768e-08,implausible,,False,
Fe,II,580.277,10.6780583,12.8141045,10.0,10.0,7000000.0,4.729907198001927e-05,2,7239,3,0.06201171875,0.0,5.114506556640894e-07,implausible,,False,
Fe,II,581.163,10.6780583,12.8108465,10.0,10.0,4800000.0,3.2520530165898955e-05,2,7255,3,0.06201171875,0.5000238854730891,3.516484738414955e-07,implausible,,False,
Fe,II,581.179,10.6780583,12.8107881,10.0,12.0,2000000.0,1.6261041851197596e-05,2,7255,3,0.06201171875,1.9999044626715525,1.758326362109065e-07,implausible,,False,
Fe,II,582.652,10.7507828,12.8781204,4.0,4.0,8200000.0,2.0323907650125454e-05,2,7281,3,0.06201171875,1.5211524848389988e-05,2.197649014700358e-07,implausible,,False,
Fe,II,583.034,10.7507828,12.8767266,4.0,6.0,20700000.0,7.704612811424273e-05,2,7288,3,0.06201171875,272.16187753797635,8.331092152728707e-07,implausible,,False,
Fe,II,583.899,10.8451196,12.9679155,10.0,12.0,4100000.0,2.709486173046746e-05,2,7303,3,0.06201171875,44.26506157873926,2.9298005683979136e-07,implausible,,False,
Fe,II,584.229,10.7370057,12.8586008,6.0,8.0,11500000.0,5.830124408568409e-05,2,7309,3,0.06201171875,0.0,6.304184895266331e-07,implausible,,False,
