config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
74,center,8,30,"(64,)",0.01,False,0.54786076326774,0.02530297012171548,0.5321428571428571,0.019944827898081077,0.5352483935995728,0.023438450487534155,0.5940652187554649,0.022282106836968105,0.6,0.02453266907313291
75,center,8,30,"(64,)",0.01,True,0.5530411917025643,0.030318651911388512,0.5568131868131868,0.02169752322706691,0.5511473154657374,0.025183808181194478,0.6054172429479461,0.02319936021803334,0.6083333333333333,0.027216552697590907
76,center,8,30,"(64,)",0.1,False,0.5418729787364177,0.023634592741459213,0.5304761904761904,0.011378565342430843,0.5317427464726381,0.017779152887345107,0.5907269262006586,0.01872733190490732,0.5972222222222222,0.020786985482077466
77,center,8,30,"(64,)",0.1,True,0.5545523820372841,0.030389499480267264,0.5584798534798535,0.022685159422473792,0.552898294025741,0.025617051154313064,0.608335540547952,0.023528647911144222,0.6111111111111112,0.027498597046143554
78,center,8,30,"(128, 64)",0.001,False,0.5516006021603674,0.041387967286476,0.5092673992673993,0.035275048591323896,0.5228207272706346,0.037120038078839644,0.5801237991924851,0.03978276974404128,0.5888888888888889,0.03868996743662257
79,center,8,30,"(128, 64)",0.001,True,0.5465038448419755,0.04777227277906058,0.5154578754578755,0.04339190026584671,0.5226003762578754,0.045569684489492675,0.5808678046188088,0.049932696920372416,0.5888888888888889,0.051068823085695096
80,center,8,30,"(128, 64)",0.01,False,0.5480320699788784,0.056829103875623475,0.5092673992673992,0.04669009365913621,0.5216154434160432,0.05084861106775151,0.5793961793754397,0.04900310826527667,0.5888888888888889,0.04530418452861139
81,center,8,30,"(128, 64)",0.01,True,0.5522974956356261,0.040895027444205194,0.5205860805860807,0.03656210734327414,0.5284043790183999,0.037898537097176964,0.5840418326841412,0.045885617551573936,0.5916666666666667,0.04762896722078403
82,center,8,30,"(128, 64)",0.1,False,0.6114778752136496,0.04523906989055186,0.5836080586080586,0.048159841281169756,0.5915275578914174,0.0474313148115312,0.6400419427337493,0.034604892954727164,0.6472222222222223,0.030681558381075755
83,center,8,30,"(128, 64)",0.1,True,0.536408820931162,0.04763666801091074,0.5086630036630037,0.040507347165195356,0.5151925503888244,0.04201690445605147,0.5749941977379879,0.046734598603136314,0.5833333333333334,0.04762896722078403
84,center,8,50,"(64,)",0.001,False,0.5482249180991722,0.022727332057721053,0.4992307692307692,0.03219602065355912,0.5145466899293799,0.03186354512990376,0.5625475809357791,0.018032406817641063,0.5694444444444445,0.01571348402636772
85,center,8,50,"(64,)",0.001,True,0.5560722328113632,0.01597997136568968,0.5295238095238095,0.003341073009539956,0.5383769330673566,0.007581528742744133,0.5717417296702133,0.012978403688699751,0.575,0.01360827634879543
86,center,8,50,"(64,)",0.01,False,0.5482249180991722,0.022727332057721053,0.4992307692307692,0.03219602065355912,0.5145466899293799,0.03186354512990376,0.5625475809357791,0.018032406817641063,0.5694444444444445,0.01571348402636772
87,center,8,50,"(64,)",0.01,True,0.5560722328113632,0.01597997136568968,0.5295238095238095,0.003341073009539956,0.5383769330673566,0.007581528742744133,0.5717417296702133,0.012978403688699751,0.575,0.01360827634879543
